title,content,user_id,event_date,status,city_state,venue,map_url,tickets_url,featured_image_url
Oakmont Country Club - Solo Acoustic,"Live Music Friday Night Out at Oakmont, enjoy some background music early on, then it gets a little crazier later in the night - great times, great people!
Awesome food (steak night), service, and fun people - come join us!",1,2023-12-01 18:00:09,publish,"Corinth, TX",Oakmont Country Club,"https://www.google.com/maps/place/Oakmont+Country+Club/@33.1512057,-97.090905,17z/data=!3m1!4b1!4m5!3m4!1s0x864c334dbd2dd387:0x85ae78bb3b829717!8m2!3d33.1512057!4d-97.0887163",,2021/06/markmoss_logo.png
Shark Beach - Double Vision,"Shark Beach is a beach-front venue in Amarillo, TX - live music, food, outdoor fun.

Debut for Double Vision in Amarillo on November 18",1,2023-11-18 19:30:52,publish,"Amarillo, TX",Shark Beach,"https://www.google.com/maps/place/Shark+Beach+Burgers/@35.0917701,-101.8259809,17z/data=!3m1!4b1!4m6!3m5!1s0x870145e914469fdb:0xc25e1e18b7490b73!8m2!3d35.0917657!4d-101.823406!16s%2Fg%2F11j6b20ps7?entry=ttu",,2022/05/Logo.jpg
156 Ice House - Sunset Strip,"A rare reprisal of the Magic Mark role as I fill in with the boys in Sunset Strip

This time we'll be in Krum, TX bringing the roaring 80s to life like they've never seen...",1,2023-11-17 20:00:29,publish,"Krum, TX",156 Ice House,"https://www.google.com/maps/place/156+Ice+House/@33.2417304,-97.2476669,17z/data=!3m1!4b1!4m6!3m5!1s0x864db7fc24877a5f:0x182f6ef8f7cbf7dd!8m2!3d33.2417259!4d-97.2450866!16s%2Fg%2F11td3wj78g?entry=ttu",,2020/06/Sunset-Strip.jpg
Grand Prairie Farmers Market - Acoustic,"Got a chance to do an earlier gig if you're in Grand Prairie area - come down enjoy music, food, arts, festivities!

I play 10-12",1,2023-11-11 09:00:05,publish,"Grand Prairie, TX",Grand Prairie Farmers Market,"https://www.google.com/maps/place/120+W+Main+St,+Grand+Prairie,+TX+75050/@32.7458494,-97.0067416,17z/data=!3m1!4b1!4m5!3m4!1s0x864e85d5043ff9eb:0xcc766aab23fc7cc!8m2!3d32.7458449!4d-97.0045529",,2023/11/9Y4B4672.jpg
Fat Daddy's - Double Vision,"Doors open at 8, show at 9
Ticket prices $10 after 8pm
Bringing the biggest hits from Foreigner to the stage!",1,2023-11-10 20:00:53,publish,"Mansfield, TX",Fat Daddy's,"https://www.google.com/maps/place/Fat+Daddy's+Sports+%26+Spirits/@32.5911251,-97.1570156,17z/data=!3m1!4b1!4m5!3m4!1s0x864e6168565c66f3:0xb184bd1bbed85c01!8m2!3d32.5911251!4d-97.1548269",,2022/05/Logo.jpg
Heff's Burgers and Bar - Double Vision,"Bringing the greatest hits of Foreigner to Abilene, TX!

To quote Kid Rock, ""headed out west sucka, 'cause I'm gonna be a cowboy baby..."" Come party with us!",1,2023-11-04 20:00:52,publish,"Abilene, TX",Heff's Burgers and Bar,"https://www.google.com/maps/place/Heff’s+Burger+%26+Bar/@32.4002975,-99.7657039,17z/data=!3m1!4b1!4m6!3m5!1s0x86568d3ba5025edf:0x7976dfda34a54dc5!8m2!3d32.4002975!4d-99.7631236!16s%2Fg%2F11fvhld1w_?entry=ttu",,2022/05/Logo.jpg
Oakmont Country Club - Solo Acoustic,"Live Music Friday Night Out at Oakmont, enjoy some background music early on, then it gets a little crazier later in the night - great times, great people!
Awesome food (steak night), service, and fun people - come join us!",1,2023-11-03 18:00:39,publish,"Corinth, TX",Oakmont Country Club,"https://www.google.com/maps/place/Oakmont+Country+Club/@33.1512057,-97.090905,17z/data=!3m1!4b1!4m5!3m4!1s0x864c334dbd2dd387:0x85ae78bb3b829717!8m2!3d33.1512057!4d-97.0887163",,2021/06/markmoss_logo.png
Oscars Bar and Grill - Green Dazed,"We're kicking off the night, a full night of high energy rock. We will be performing with friends in Beauty and the Beasts - new band in DFW performing hard-hitting rock songs from 90's on through the 2000 and 2010 eras.

Great outdoor venue (weather permitting of course) with an awesome staff, get out and rock with us!!

Typically $10 cover for a full night of fun.",1,2023-10-28 20:00:07,publish,"Burleson, TX",Oscars Bar & Grill,"https://www.google.com/maps/place/Oscars/@32.516476,-97.3496154,17z/data=!3m1!4b1!4m5!3m4!1s0x864e690ed04297bd:0xfd6453d1b12cc9af!8m2!3d32.516476!4d-97.3474214?authuser=1",,2023/01/Brad-Logo-G.png
T's - Arghh PIrates!,"All you swashbuckling scallywags and scrumpets! We return to T's to start the weekend early on a Thursday night...

&nbsp;",1,2023-10-26 21:00:40,publish,Lewisville,T's Bar & Grill,"https://www.google.com/maps/place/T's+Bar+%26+Grill/@33.0248725,-96.9968237,17z/data=!3m1!4b1!4m5!3m4!1s0x864c2e65ac6c89ef:0x2fb7cf3748080dd7!8m2!3d33.024868!4d-96.994635",,2021/11/AP-CDBaby.jpg
Arlington Music Hall - Zeppelin Project,"It's happening again, this time in DFW area folks. Due to circumstances where their normal front man David cannot be in attendance I've been asked to fill the shoes and front Zeppelin Project.

It was a blast before, will be a blast again - full on Zeppelin, live like few have seen!

As a bonus, Zep Unplugged will be opening with acoustic renditions of songs not being performed by Zeppelin Project - a full night of me!",1,2023-10-21 20:00:02,publish,"Arlington, TX",Arlington Music Hall,"https://www.google.com/maps/place/Arlington+Music+Hall/@32.7384935,-97.1099183,17z/data=!3m1!4b1!4m6!3m5!1s0x864e7d76e8c58643:0x9c5cd2c554ac2245!8m2!3d32.738489!4d-97.107338!16s%2Fm%2F0k219qh?entry=ttu",,2023/05/ZepProject.jpg
Arlington Music Hall - Zep Unplugged,"Zep Unplugged will be opening with acoustic renditions of songs not being performed by Zeppelin Project - a full night of me like it or not!

Then later, it's happening again, this time in DFW area folks. Due to circumstances where their normal front man David cannot be in attendance I've been asked to fill the shoes and front Zeppelin Project.

It was a blast before, will be a blast again - full on Zeppelin, live like few have seen!

&nbsp;",1,2023-10-21 18:00:57,publish,"Arlington, TX",Arlington Music Hall,"https://www.google.com/maps/place/Arlington+Music+Hall/@32.7384935,-97.1099183,17z/data=!3m1!4b1!4m6!3m5!1s0x864e7d76e8c58643:0x9c5cd2c554ac2245!8m2!3d32.738489!4d-97.107338!16s%2Fm%2F0k219qh?entry=ttu",,2023/06/ZepUnplugged.jpg
Lava Cantina - Double Vision,"We will have the honor of headlining the night and our friends in Vital Signs - a tribute to the music of Survivor is opening!

Check their website lavacantina.com, tables can be reserved at their site, get in on one early as they will sell out.

I've played here before with Green Dazed and it's one HELL of a great venue, a great excuse for a Friday night out!",1,2023-10-20 21:00:27,publish,"The Colony, TX",Lava Cantina,"https://www.google.com/maps/place/Lava+Cantina+The+Colony/@33.0779445,-96.862112,17z/data=!3m1!4b1!4m5!3m4!1s0x864c3b36ab92a81d:0x91407cd0e1926766!8m2!3d33.07794!4d-96.859918",,2022/05/Logo.jpg
